# java.version=25.0.2.0.101 tzdata=2026a
MIT	MIT	false	Samoa Standard Time	Samoa Daylight Time	GMT+13:00	GMT+14:00
US/Samoa	US/Samoa	false	American Samoa Standard Time	American Samoa Daylight Time	SST	SST
HST	HST	false	Hawaii-Aleutian Standard Time	Hawaii-Aleutian Daylight Time	HST	HDT
US/Alaska	US/Alaska	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
PST	PST	true	Pacific Standard Time	Pacific Daylight Time	PST	PDT
MST	MST	false	Mountain Standard Time	Mountain Daylight Time	MST	MDT
MST7MDT	MST7MDT	true	Mountain Standard Time	Mountain Daylight Time	MST	MDT
America/Chicago	America/Chicago	true	Central Standard Time	Central Daylight Time	CST	CDT
EST	EST	false	Eastern Standard Time	Eastern Daylight Time	EST	EDT
EST5EDT	EST5EDT	true	Eastern Standard Time	Eastern Daylight Time	EST	EDT
Etc/Greenwich	Etc/Greenwich	false	Greenwich Mean Time	Greenwich Mean Time	GMT	GMT
GB	GB	true	Greenwich Mean Time	British Summer Time	GMT	BST
UCT	UCT	false	Coordinated Universal Time	Coordinated Universal Time	UTC	UTC
CET	CET	true	Central European Standard Time	Central European Summer Time	CET	CEST
ECT	ECT	true	Central European Standard Time	Central European Summer Time	CET	CEST
MET	MET	true	Central European Standard Time	Central European Summer Time	CET	CEST
ART	ART	true	Eastern European Standard Time	Eastern European Summer Time	EET	EEST
EET	EET	true	Eastern European Standard Time	Eastern European Summer Time	EET	EEST
EAT	EAT	false	East Africa Time	GMT+03:00	EAT	EAT
Israel	Israel	true	Israel Standard Time	Israel Daylight Time	IST	IDT
IST	IST	false	India Standard Time	GMT+06:30	IST	IST
CTT	CTT	false	China Standard Time	China Daylight Time	CST	CDT
JST	JST	false	Japan Standard Time	Japan Daylight Time	JST	JDT
Africa/Abidjan	Africa/Abidjan	false	Greenwich Mean Time	Abidjan Daylight Time	GMT	GMT
Africa/Accra	Africa/Accra	false	Greenwich Mean Time	Accra Daylight Time	GMT	GMT
Africa/Addis_Ababa	Africa/Addis_Ababa	false	East Africa Time	Addis Ababa Daylight Time	EAT	EAT
Africa/Algiers	Africa/Algiers	false	Central European Standard Time	Central European Summer Time	CET	CEST
Africa/Asmara	Africa/Asmara	false	East Africa Time	Asmara Daylight Time	EAT	EAT
Africa/Asmera	Africa/Asmera	false	East Africa Time	Asmara Daylight Time	EAT	EAT
Africa/Bamako	Africa/Bamako	false	Greenwich Mean Time	Bamako Daylight Time	GMT	GMT
Africa/Bangui	Africa/Bangui	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Banjul	Africa/Banjul	false	Greenwich Mean Time	Banjul Daylight Time	GMT	GMT
Africa/Bissau	Africa/Bissau	false	Greenwich Mean Time	Bissau Daylight Time	GMT	GMT
Africa/Blantyre	Africa/Blantyre	false	Central Africa Time	Blantyre Daylight Time	CAT	CAT
Africa/Brazzaville	Africa/Brazzaville	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Bujumbura	Africa/Bujumbura	false	Central Africa Time	Bujumbura Daylight Time	CAT	CAT
Africa/Cairo	Africa/Cairo	true	Eastern European Standard Time	Eastern European Summer Time	EET	EEST
Africa/Casablanca	Africa/Casablanca	false	Casablanca Standard Time	Casablanca Daylight Time	GMT	GMT+01:00
Africa/Ceuta	Africa/Ceuta	true	Central European Standard Time	Central European Summer Time	CET	CEST
Africa/Conakry	Africa/Conakry	false	Greenwich Mean Time	Conakry Daylight Time	GMT	GMT
Africa/Dakar	Africa/Dakar	false	Greenwich Mean Time	Dakar Daylight Time	GMT	GMT
Africa/Dar_es_Salaam	Africa/Dar_es_Salaam	false	East Africa Time	Dar es Salaam Daylight Time	EAT	EAT
Africa/Djibouti	Africa/Djibouti	false	East Africa Time	Djibouti Daylight Time	EAT	EAT
Africa/Douala	Africa/Douala	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/El_Aaiun	Africa/El_Aaiun	false	El Aaiun Standard Time	El Aaiun Daylight Time	GMT	GMT+01:00
Africa/Freetown	Africa/Freetown	false	Greenwich Mean Time	Freetown Daylight Time	GMT	GMT
Africa/Gaborone	Africa/Gaborone	false	Central Africa Time	Gaborone Daylight Time	CAT	CAT
Africa/Harare	Africa/Harare	false	Central Africa Time	Harare Daylight Time	CAT	CAT
Africa/Johannesburg	Africa/Johannesburg	false	South Africa Standard Time	Johannesburg Daylight Time	SAST	SAST
Africa/Juba	Africa/Juba	false	Central Africa Time	Juba Daylight Time	CAT	CAT
Africa/Kampala	Africa/Kampala	false	East Africa Time	Kampala Daylight Time	EAT	EAT
Africa/Khartoum	Africa/Khartoum	false	Central Africa Time	Khartoum Daylight Time	CAT	CAT
Africa/Kigali	Africa/Kigali	false	Central Africa Time	Kigali Daylight Time	CAT	CAT
Africa/Kinshasa	Africa/Kinshasa	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Lagos	Africa/Lagos	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Libreville	Africa/Libreville	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Lome	Africa/Lome	false	Greenwich Mean Time	Lome Daylight Time	GMT	GMT
Africa/Luanda	Africa/Luanda	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Lubumbashi	Africa/Lubumbashi	false	Central Africa Time	Lubumbashi Daylight Time	CAT	CAT
Africa/Lusaka	Africa/Lusaka	false	Central Africa Time	Lusaka Daylight Time	CAT	CAT
